Instance Type;GPUs;vCPU;Memory (GiB);Storage (GB);Networking Performance;Physical Processor;Clock Speed (GHz);Intel AVX;Intel AVX2;Intel Turbo;EBS OPT;Enhanced Network;EU (Frankfurt);Asia Pacific (Singapore);US East (Ohio);Asia Pacific (Seoul);AWS GovCloud (US);EU (Ireland);US East (N. Virginia);US West (Oregon);Asia Pacific (Tokyo);South America (Sao Paulo);EU (London);Asia Pacific (Sydney);Canada (Central);Asia Pacific (Mumbai);US West (N. California);EU (Paris);Asia Pacific (Osaka-Local)
c3.4xlarge;c3.4xlarge;16;30 GiB;2 x 160 SSD;High;Intel Xeon E5-2680 v2 (Ivy Bridge);2.8 GHz;-;-;-;-;Yes;3.0550000000;1.0580000000;;2.0387900000;1.6720000000;1.0520000000;7.6600000000;0.9400000000;1.2230000000;2.6260000000;;1.4320000000;;;1.0560000000;;3.0460000000
m3.large;m3.large;2;7.5 GiB;1 x 32 SSD;Moderate;Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge);2.5 GHz;-;-;-;-;-;0.2400000000;0.2160000000;;0.2016850000;0.3230000000;0.2460000000;0.2560000000;0.2590000000;0.3210000000;0.6890000000;;0.2540000000;;;0.2540000000;;0.6720000000
m4.2xlarge;m4.2xlarge;8;32 GiB;EBS only;High;Intel Xeon E5-2676 v3 (Haswell);2.4 GHz;-;-;-;-;Yes;0.9960000000;1.5100000000;1.3600000000;0.9092000000;0.6040000000;3.4440000000;0.7680000000;1.3600000000;0.6160000000;3.6360000000;1.4240000000;1.4600000000;0.4884000000;1.7900000000;1.0620000000;;3.9356000000
r5d.large;r5d.large;2;16 GiB;1 x 75 NVMe SSD;10 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;0.2410000000;0.2660000000;0.1530000000;0.7450000000;;0.3290000000;0.7250000000;0.6240000000;0.6540000000;;0.2290000000;0.2520000000;0.2350000000;;0.3220000000;;
r5d.24xlarge;r5d.24xlarge;96;768 GiB;4 x 900 NVMe SSD;25 Gigabit;Intel Xeon Platinum 8175;;-;-;-;-;-;8.3040000000;48.7680000000;42.9120000000;24.2400000000;;23.6160000000;47.3280000000;12.9500000000;48.7680000000;;24.0480000000;12.7680000000;7.7140000000;;7.9060000000;;
c5d.xlarge;c5d.xlarge;4;8 GiB;1 x 100 NVMe SSD;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;0.8860000000;0.2980000000;0.2920000000;0.2340000000;0.8960000000;0.2180000000;0.2640000000;1.8760000000;0.7240000000;;0.8940000000;0.3350000000;0.8760000000;;0.3560000000;;
i2.xlarge;i2.xlarge;4;30.5 GiB;1 x 800 SSD;Moderate;Intel Xeon E5-2670 v2 (Ivy Bridge);2.5 GHz;-;-;-;-;Yes;1.0810000000;2.1270000000;1.3330000000;1.4810000000;1.2800000000;1.4180000000;0.9530000000;0.9930000000;2.2290000000;0.0200000000;;1.0860000000;;1.4470000000;2.5320000000;;
h1.4xlarge;h1.4xlarge;16;64 GiB;2 x 2000 HDD;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;;;1.1710000000;;;2.1160000000;7.7330000000;1.0970000000;;;;;;;;;
d2.2xlarge;d2.2xlarge;8;61 GiB;6 x 2000 HDD;High;Intel Xeon E5-2676v3 (Haswell);2.4 GHz;-;-;-;-;Yes;1.5880000000;1.7400000000;4.5180000000;2.2248000000;1.6560000000;1.4700000000;1.3800000000;1.4800000000;1.7880000000;;1.6980000000;2.0570000000;4.8900000000;1.9280000000;1.6930000000;1.9120000000;1.9870000000
x1e.16xlarge;x1e.16xlarge;64;1,952 GiB;1 x 1920 SSD;10 Gigabit;High Frequency Intel Xeon E7-8880 v3 (Haswell);2.3 GHz;Yes;Yes;Yes;-;Yes;42.6720000000;;;;20.5440000000;28.2240000000;15.7600000000;13.3440000000;29.9680000000;;;19.3440000000;;;;;
g3s.xlarge;g3s.xlarge;4;30.5 GiB;EBS only;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);;-;-;-;-;-;1.0680000000;;0.7500000000;;;0.9800000000;0.9280000000;0.8030000000;1.0400000000;;;1.3380000000;;;1.2650000000;;
r4.4xlarge;r4.4xlarge;16;122 GiB;EBS only;Up to 10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;2.1440000000;4.0640000000;1.3000000000;2.4260000000;2.0128000000;1.1856000000;3.0904000000;1.9060000000;2.2980000000;5.1200000000;3.2928000000;1.3768000000;3.8240000000;1.2260000000;7.1840000000;8.1088000000;1.3800000000
c5.2xlarge;c5.2xlarge;8;16 GiB;EBS only;Up to 10 Gigabit;Intel Xeon Platinum 8124M;3.0 Ghz;-;-;-;-;Yes;3.7560000000;0.3920000000;0.8430000000;0.4840000000;0.4330000000;0.4090000000;0.7280000000;0.4600000000;0.9310000000;0.6540000000;0.5040000000;3.8390000000;0.5310000000;0.4620000000;1.3840000000;0.5660000000;
r4.8xlarge;r4.8xlarge;32;244 GiB;EBS only;10 Gigabit;Intel Xeon E5-2686 v4 (Broadwell);2.3 GHz;-;-;-;-;Yes;14.5600000000;16.2880000000;2.6688000000;3.1008000000;4.5896000000;4.0800000000;2.2280000000;15.8130000000;2.9160000000;10.2400000000;14.7456000000;14.5600000000;3.8080000000;2.1920000000;16.0800000000;4.5320000000;16.0320000000
