"ADD TO
ESTIMATE";INSTANCE;CORE;RAM;"TEMPORARY
STORAGE";PAY AS YOU GO;"ONE YEAR RESERVED
(% SAVINGS)";"THREE YEAR RESERVED
(% SAVINGS)";vCPU;"ACTIVE vCPU /
UNDERLYING vCPU";GPU;Central US;East US;East US 2;North Central US;South Central US;West Central US;West US;West US 2;North Europe;West Europe;East Asia;Southeast Asia;Japan East;Japan West;Brazil South;Australia Central;Australia Central 2;Australia East;Australia Southeast;Central India;South India;West India;Canada Central;Canada East;Germany Central;Germany Northeast;UK South;UK West;France Central;France South;Korea Central;Korea South;US DoD Central;US DoD East;US Gov Arizona;US Gov Iowa;US Gov Texas;US Gov Virginia
;B1S;1;1.00 GiB;2 GiB;$0.013/hour;$0.009/hour (~38%);$0.006/hour (~60%);;;;;$0.011/hour;$0.011/hour;$0.011/hour;$0.013/hour;$0.013/hour;$0.013/hour;$0.011/hour;$0.012/hour;$0.012/hour;$0.017/hour;$0.014/hour;$0.014/hour;$0.016/hour;$0.017/hour;$0.02/hour;$0.02/hour;$0.014/hour;$0.016/hour;$0.014/hour;$0.015/hour;$0.015/hour;$0.012/hour;$0.013/hour;$0.008/hour;$0.008/hour;$0.012/hour;$0.013/hour;$0.013/hour;$0.017/hour;$0.014/hour;$0.013/hour;N/A;N/A;$0.015/hour;N/A;$0.015/hour;N/A
;B2S;2;4.00 GiB;8 GiB;$0.052/hour;$0.033/hour (~38%);$0.021/hour (~60%);;;;;$0.042/hour;$0.042/hour;$0.042/hour;$0.052/hour;$0.052/hour;$0.05/hour;$0.042/hour;$0.045/hour;$0.048/hour;$0.068/hour;$0.053/hour;$0.055/hour;$0.064/hour;$0.068/hour;$0.08/hour;$0.08/hour;$0.053/hour;$0.064/hour;$0.053/hour;$0.058/hour;$0.059/hour;$0.047/hour;$0.052/hour;$0.03/hour;$0.03/hour;$0.048/hour;$0.052/hour;$0.052/hour;$0.068/hour;$0.057/hour;$0.052/hour;N/A;N/A;$0.06/hour;N/A;$0.06/hour;N/A
;B1MS;1;2.00 GiB;4 GiB;$0.025/hour;$0.017/hour (~35%);$0.011/hour (~58%);;;;;$0.021/hour;$0.021/hour;$0.021/hour;$0.025/hour;$0.025/hour;$0.025/hour;$0.021/hour;$0.023/hour;$0.024/hour;$0.034/hour;$0.027/hour;$0.028/hour;$0.032/hour;$0.034/hour;$0.04/hour;$0.04/hour;$0.027/hour;$0.032/hour;$0.027/hour;$0.03/hour;$0.03/hour;$0.023/hour;$0.026/hour;$0.015/hour;$0.015/hour;$0.024/hour;$0.026/hour;$0.026/hour;$0.034/hour;$0.029/hour;$0.026/hour;N/A;N/A;$0.03/hour;N/A;$0.03/hour;N/A
;B2MS;2;8.00 GiB;16 GiB;$0.103/hour;$0.065/hour (~37%);$0.042/hour (~59%);;;;;$0.084/hour;$0.084/hour;$0.084/hour;$0.103/hour;$0.103/hour;$0.10/hour;$0.084/hour;$0.091/hour;$0.096/hour;$0.135/hour;$0.106/hour;$0.109/hour;$0.128/hour;$0.134/hour;$0.16/hour;$0.16/hour;$0.106/hour;$0.128/hour;$0.107/hour;$0.118/hour;$0.119/hour;$0.093/hour;$0.103/hour;$0.059/hour;$0.059/hour;$0.095/hour;$0.106/hour;$0.106/hour;$0.138/hour;$0.115/hour;$0.104/hour;N/A;N/A;$0.118/hour;N/A;$0.118/hour;N/A
;B4MS;4;16.00 GiB;32 GiB;$0.204/hour;$0.129/hour (~37%);$0.084/hour (~59%);;;;;$0.166/hour;$0.166/hour;$0.166/hour;$0.204/hour;$0.204/hour;$0.198/hour;$0.166/hour;$0.182/hour;$0.192/hour;$0.27/hour;$0.211/hour;$0.218/hour;$0.256/hour;$0.269/hour;$0.32/hour;$0.32/hour;$0.211/hour;$0.256/hour;$0.214/hour;$0.236/hour;$0.238/hour;$0.185/hour;$0.206/hour;$0.118/hour;$0.118/hour;$0.189/hour;$0.212/hour;$0.212/hour;$0.275/hour;$0.23/hour;$0.207/hour;N/A;N/A;$0.235/hour;N/A;$0.235/hour;N/A
;B8MS;8;32.00 GiB;64 GiB;$0.408/hour;$0.258/hour (~37%);$0.168/hour (~59%);;;;;$0.333/hour;$0.333/hour;$0.333/hour;$0.408/hour;$0.408/hour;$0.397/hour;$0.333/hour;$0.364/hour;$0.384/hour;$0.54/hour;$0.422/hour;$0.435/hour;$0.512/hour;$0.538/hour;$0.64/hour;$0.64/hour;$0.422/hour;$0.512/hour;$0.428/hour;$0.471/hour;$0.476/hour;$0.371/hour;$0.412/hour;$0.235/hour;$0.235/hour;$0.378/hour;$0.424/hour;$0.423/hour;$0.55/hour;$0.461/hour;$0.415/hour;N/A;N/A;$0.47/hour;N/A;$0.47/hour;N/A
;A1 v2;1;2.00 GiB;10 GiB;$0.043/hour;– –;– –;;;;;$0.043/hour;$0.043/hour;$0.043/hour;$0.043/hour;$0.04/hour;$0.043/hour;$0.036/hour;$0.041/hour;$0.041/hour;$0.05/hour;$0.045/hour;$0.054/hour;$0.054/hour;$0.061/hour;$0.063/hour;$0.063/hour;$0.05/hour;$0.05/hour;$0.047/hour;$0.047/hour;$0.047/hour;$0.047/hour;$0.043/hour;$0.047/hour;$0.047/hour;$0.05/hour;$0.05/hour;$0.05/hour;$0.065/hour;$0.049/hour;$0.044/hour;N/A;N/A;$0.048/hour;$0.048/hour;$0.048/hour;$0.048/hour
;A2 v2;2;4.00 GiB;20 GiB;$0.091/hour;– –;– –;;;;;$0.091/hour;$0.091/hour;$0.091/hour;$0.091/hour;$0.083/hour;$0.091/hour;$0.076/hour;$0.087/hour;$0.087/hour;$0.106/hour;$0.095/hour;$0.113/hour;$0.113/hour;$0.129/hour;$0.133/hour;$0.133/hour;$0.106/hour;$0.106/hour;$0.098/hour;$0.098/hour;$0.098/hour;$0.098/hour;$0.091/hour;$0.10/hour;$0.10/hour;$0.106/hour;$0.106/hour;$0.106/hour;$0.138/hour;$0.102/hour;$0.092/hour;N/A;N/A;$0.097/hour;$0.097/hour;$0.097/hour;$0.097/hour
;A4 v2;4;8.00 GiB;40 GiB;$0.191/hour;– –;– –;;;;;$0.191/hour;$0.191/hour;$0.191/hour;$0.191/hour;$0.175/hour;$0.191/hour;$0.159/hour;$0.183/hour;$0.183/hour;$0.222/hour;$0.198/hour;$0.238/hour;$0.238/hour;$0.27/hour;$0.278/hour;$0.278/hour;$0.222/hour;$0.222/hour;$0.206/hour;$0.206/hour;$0.206/hour;$0.206/hour;$0.191/hour;$0.21/hour;$0.21/hour;$0.222/hour;$0.222/hour;$0.222/hour;$0.289/hour;$0.214/hour;$0.193/hour;N/A;N/A;$0.194/hour;$0.194/hour;$0.194/hour;$0.194/hour
;A8 v2;8;16.00 GiB;80 GiB;$0.40/hour;– –;– –;;;;;$0.40/hour;$0.40/hour;$0.40/hour;$0.40/hour;$0.367/hour;$0.40/hour;$0.333/hour;$0.383/hour;$0.383/hour;$0.467/hour;$0.417/hour;$0.50/hour;$0.50/hour;$0.567/hour;$0.584/hour;$0.584/hour;$0.467/hour;$0.467/hour;$0.433/hour;$0.433/hour;$0.433/hour;$0.433/hour;$0.40/hour;$0.437/hour;$0.437/hour;$0.467/hour;$0.467/hour;$0.467/hour;$0.608/hour;$0.45/hour;$0.405/hour;N/A;N/A;$0.387/hour;$0.387/hour;$0.387/hour;$0.387/hour
